Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Attack Name,Label
10.0.0.7-10.0.0.254-43019-1883-6,10.0.0.7,43019,10.0.0.254,1883,6,29/08/2023 02:28:01 PM,117998821,121,121,5320.0,4.0,47.0,0.0,43.96694214876032,5.750266492806398,2.0,0.0,0.0330578512396694,0.256056123324577,45.11909487638016,2.050867948926371,489621.66390041495,500478.8524921233,1008957.0,6.0,117998821.0,983323.5083333334,128390.77883110248,1008966.0,1168.0,117998578.0,983321.4833333336,128544.33513844394,1043258.0,946.0,1,0,0,0,3872,3872,1.0254339744631855,1.0254339744631855,0.0,47.0,22.094650205761305,22.386428061307143,501.15216134408,0,0,0,121,242,0,0,0,1.0,22.18595041322314,43.96694214876033,0.0330578512396694,0,0,0,186,4,59,2,95,2,0,502,509,118,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.250-192.168.137.48-1883-51532-6,192.168.137.250,1883,192.168.137.48,51532,6,29/08/2023 02:30:00 PM,223267,9,9,218.0,3597.0,218.0,0.0,24.22222222222221,72.66666666666666,654.0,218.0,399.6666666666667,144.1934464530202,17087.164695185584,80.62096055395558,13133.35294117647,12247.857133704943,49545.0,1376.0,140668.0,17583.5,11978.544939062624,35525.0,4145.0,190325.0,23790.625,15466.66785553926,49545.0,1409.0,1,0,0,0,288,288,40.31048027697779,40.31048027697779,0.0,654.0,212.26315789473688,216.4005653374376,46829.20467836257,0,0,0,10,18,0,0,0,1.0,224.0555555555556,24.22222222222222,399.6666666666667,0,0,0,3815,10,17087,0,0,0,0,502,502,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51850-1883-6,192.168.137.48,51850,192.168.137.250,1883,6,29/08/2023 02:28:01 PM,119632418,4225,3617,1547152.0,6.0,1448.0,0.0,366.18982248520695,368.6020221069309,2.0,0.0,0.0016588332872546,0.0575832578266884,12932.598252757876,65.5507940999738,15257.290906772072,42158.64195462898,2605799.0,0.0,119632418.0,28322.068655303006,60296.382664657685,2627018.0,0.0,119523599.0,33054.092643805365,64352.28051346811,2626873.0,0.0,1,0,0,0,135200,115756,35.31651429130188,30.23427980867193,0.0,1448.0,197.2799948999101,326.3530473956107,106506.31154440172,0,0,0,4040,7842,0,0,0,0.0,197.3051517470033,366.1898224852071,0.0016588332872546,0,0,0,773579,2113,13222,4225,1547152,3617,6,502,3090,4222,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51852-1883-6,192.168.137.48,51852,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,188767,8,3,3488.0,0.0,1448.0,0.0,436.0,445.6020005084615,0.0,0.0,0.0,0.0,18477.805972442216,58.27289727547718,18876.7,14311.337805701076,46258.0,3.0,188767.0,26966.714285714286,15530.83678486434,46258.0,3.0,62330.0,31165.0,4313.35136523794,34215.0,28115.0,0,0,0,0,256,96,42.380288927619766,15.892608347857411,0.0,1448.0,290.6666666666667,415.26012293136176,172440.9696969697,0,0,0,6,11,0,0,0,0.0,317.09090909090907,436.0,0.0,0,0,0,3488,7,19765,0,0,0,0,2859,2869,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51988-1883-6,192.168.137.48,51988,192.168.137.250,1883,6,29/08/2023 02:28:00 PM,119725812,4274,3670,1581269.0,6.0,1448.0,0.0,369.974029012634,364.03359109451975,2.0,0.0,0.0016348773841961,0.0571661823110993,13207.46941352964,66.35160678634612,15073.12249779682,45588.24241422622,2724148.0,0.0,119725812.0,28019.146267259646,64828.97044827153,2747970.0,0.0,119595747.0,32596.27882256752,69339.86919974601,2744241.0,0.0,1,0,0,0,136768,117452,35.69823356052912,30.653373225817003,0.0,1448.0,199.04140969162967,324.50662864767565,105304.55203628044,0,0,0,4096,7944,0,0,0,0.0,199.0664652567976,369.97402901263456,0.0016348773841961,0,0,0,527091,1425,13683,2137,790634,1835,3,502,1015,4271,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
10.0.0.8-10.0.0.254-40663-1883-6,10.0.0.8,40663,10.0.0.254,1883,6,29/08/2023 02:28:05 PM,114012911,27,27,402.0,4.0,18.0,0.0,14.88888888888889,5.94418483337567,2.0,0.0,0.1481481481481481,0.5337605126836237,3.561000209879739,0.4736305697869603,2151187.0,2451047.16316682,5005524.0,7.0,114012911.0,4385111.961538462,1525084.5057018837,5005605.0,1342.0,114012744.0,4385105.538461538,1520522.1483800684,5005547.0,1184.0,1,0,0,0,864,864,0.2368152848934801,0.2368152848934801,0.0,18.0,7.672727272727271,8.531107664295297,72.77979797979795,0,0,0,27,54,0,0,0,1.0,7.814814814814815,14.88888888888889,0.1481481481481481,0,0,0,0,0,0,1,17,1,0,502,509,24,32,3460478.846153846,4736109.496011835,14999578.0,7.0,5001847.769230768,1735.921712609141,5005524.0,5000144.0,MQTT DoS Publish Flood,1
10.0.0.2-10.0.0.254-45641-1883-6,10.0.0.2,45641,10.0.0.254,1883,6,29/08/2023 02:28:04 PM,115009329,33,33,642.0,4.0,22.0,0.0,19.454545454545457,6.969087588643282,2.0,0.0,0.1212121212121212,0.4846116845975599,5.616935648759415,0.5738664904305285,1769374.292307692,1965227.2728850893,4004228.0,11.0,115009329.0,3594041.5312500005,1102638.8134172168,4004278.0,1450.0,115009114.0,3594034.8125,1098839.9321994798,4004346.0,1275.0,1,0,0,0,1056,1056,0.2869332452152642,0.2869332452152642,0.0,22.0,9.970149253731345,10.923938335841363,119.3324287652646,0,0,0,33,66,0,0,0,1.0,10.12121212121212,19.454545454545453,0.1212121212121212,0,0,0,0,0,0,1,22,1,0,502,509,30,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52094-1883-6,192.168.137.48,52094,192.168.137.250,1883,6,29/08/2023 02:28:01 PM,119580497,4640,3827,1855406.0,8.0,1448.0,0.0,399.87198275861977,389.4594614571686,2.0,0.0,0.0020904102430101,0.0646339095845192,15516.025159186283,70.80586059112967,14124.79293645168,41392.493731922,2583201.0,0.0,119580497.0,25777.21427031693,58748.77680606943,2615370.0,0.0,119446503.0,31219.68191322537,63812.36850323084,2603815.0,0.0,1,0,0,0,148480,122476,38.80231405962463,32.00354653150505,0.0,1448.0,219.12175247992417,350.300396063673,122710.36748236616,0,0,0,4412,8467,0,0,0,0.0,219.1476319829928,399.8719827586207,0.0020904102430101,0,0,0,618471,1546,16073,2320,927703,1913,4,502,1831,4635,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52092-1883-6,192.168.137.48,52092,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,29800,2,0,1090.0,0.0,654.0,436.0,545.0,154.14927829866735,0.0,0.0,0.0,0.0,36577.18120805369,67.11409395973155,29800.0,0.0,29800.0,29800.0,29800.0,29800.0,0.0,29800.0,29800.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,67.11409395973155,0.0,436.0,654.0,508.6666666666667,125.8623586833384,15841.333333333334,0,0,0,2,2,0,0,0,0.0,763.0,545.0,0.0,0,0,0,0,0,0,0,0,0,0,502,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51564-1883-6,192.168.137.48,51564,192.168.137.250,1883,6,29/08/2023 02:28:00 PM,119974133,4687,3842,1922813.0,6.0,1448.0,0.0,410.2438660123751,411.9464436568908,2.0,0.0,0.0015616866215512,0.0558725953373334,16026.946408522912,71.09032411178167,14068.261374296382,41671.9884853373,2760277.0,0.0,119974133.0,25602.67456252669,58871.95701822521,2782212.0,0.0,119896448.0,31214.90445196564,64300.85099265944,2780394.0,0.0,1,0,0,0,149984,122956,39.06675449782163,32.023569613960035,0.0,1448.0,225.43118405627263,367.28698603357935,134899.7301096307,0,0,0,4374,8529,0,0,0,0.0,225.4576151952164,410.24386601237467,0.0015616866215512,0,0,0,640939,1562,16574,2343,961406,1921,3,502,1144,4684,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52332-1883-6,192.168.137.48,52332,192.168.137.250,1883,6,29/08/2023 02:28:00 PM,119922624,4759,3992,1593806.0,8.0,1448.0,0.0,334.90355116621083,335.6179618176868,2.0,0.0,0.002004008016032,0.0632850949375978,13290.352952917374,72.97205237937422,13705.442742857076,32472.22043120645,1142417.0,0.0,119922624.0,25204.41866330384,47208.67105751897,1163147.0,0.0,119787775.0,30014.476321723912,51068.6138651044,1162252.0,0.0,1,0,0,0,152288,127792,39.68392152593326,33.28813085344097,0.0,1448.0,182.12100091407683,298.44274086673994,89068.06957605208,0,0,0,4603,8751,0,0,0,0.0,182.1418123643012,334.9035511662114,0.002004008016032,0,0,0,398453,1190,13665,1586,531268,1330,2,502,1622,4757,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.115-173.194.194.206-51792-8883-6,192.168.137.115,51792,173.194.194.206,8883,6,29/08/2023 02:28:33 PM,60164595,4,2,62.0,62.0,31.0,0.0,15.5,17.8978583448784,31.0,31.0,31.0,0.0,2.061012793321388,0.0997264254832929,12032919.0,26848123.3792138,60060301.0,18771.0,60164595.0,20054865.0,34645723.89069474,60060301.0,50825.0,60110744.0,60110744.0,0.0,60110744.0,60110744.0,1,0,0,0,128,64,0.0664842836555286,0.0332421418277643,0.0,31.0,22.142857142857142,15.126451130702264,228.80952380952377,0,0,0,4,6,0,0,0,0.0,25.83333333333333,15.5,31.0,0,0,0,0,0,0,4,62,2,62,316,265,1,32,50825.0,0.0,50825.0,50825.0,60060301.0,0.0,60060301.0,60060301.0,MQTT DoS Publish Flood,1
10.0.0.12-10.0.0.254-36373-1883-6,10.0.0.12,36373,10.0.0.254,1883,6,29/08/2023 02:28:01 PM,117998789,121,121,2265.0,4.0,21.0,0.0,18.719008264462808,2.45024876456748,2.0,0.0,0.0330578512396694,0.256056123324577,19.22901090112035,2.050868505099658,489621.53112033167,500505.2119124153,1009156.0,6.0,117998789.0,983323.2416666668,128392.71254870108,1009162.0,1089.0,117998519.0,983320.9916666666,128547.05385257336,1043164.0,839.0,1,0,0,0,3872,3872,1.025434252549829,1.025434252549829,0.0,21.0,9.4156378600823,9.522704616187344,90.68190320715574,0,0,0,121,242,0,0,0,1.0,9.454545454545457,18.71900826446281,0.0330578512396694,0,0,0,76,4,25,2,40,2,0,502,509,118,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
10.0.0.5-10.0.0.254-35675-1883-6,10.0.0.5,35675,10.0.0.254,1883,6,29/08/2023 02:28:59 PM,60004241,5,4,34.0,4.0,30.0,0.0,6.8,13.00769003320728,2.0,0.0,1.0,1.1547005383792517,0.6332885703862166,0.149989398249367,7500530.125000001,20795127.56547539,58958688.0,15.0,60004241.0,15001060.25,29338354.827001262,59002952.0,1127.0,60002117.0,20000705.666666664,33742634.53297329,58958703.0,921.0,1,0,0,0,160,128,0.0833274434718706,0.0666619547774964,0.0,30.0,4.0,9.189365834726814,84.44444444444446,0,0,0,5,9,0,0,0,0.0,4.444444444444445,6.8,1.0,0,0,0,0,0,0,5,34,4,4,502,509,2,32,1044426.0,0.0,1044426.0,1044426.0,58958688.0,0.0,58958688.0,58958688.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52330-1883-6,192.168.137.48,52330,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,26277,2,0,1090.0,0.0,654.0,436.0,545.0,154.14927829866735,0.0,0.0,0.0,0.0,41481.1432050843,76.11218936712714,26277.0,0.0,26277.0,26277.0,26277.0,26277.0,0.0,26277.0,26277.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,76.11218936712714,0.0,436.0,654.0,581.3333333333334,125.8623586833384,15841.333333333334,0,0,0,2,2,0,0,0,0.0,872.0,545.0,0.0,0,0,0,0,0,0,0,0,0,0,502,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.250-192.168.137.48-1883-51890-6,192.168.137.250,1883,192.168.137.48,51890,6,29/08/2023 02:30:00 PM,247234,8,11,218.0,7303.0,218.0,0.0,27.25,77.07463914933368,1448.0,78.0,663.9090909090909,539.2495627342603,30420.57322212964,76.85027140280059,13735.222222222224,11858.707143874622,47175.0,1.0,166251.0,23750.14285714286,11623.566756501948,37172.0,5250.0,231258.0,23125.800000000003,16970.525597831867,47175.0,1.0,1,0,0,0,256,352,32.358009011705505,44.49226239109508,0.0,1448.0,386.94999999999993,505.59349960428216,255624.78684210527,0,0,0,9,19,0,0,0,1.0,407.3157894736842,27.25,663.9090909090909,0,0,0,7521,12,30420,0,0,0,0,502,502,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-51716-1883-6,192.168.137.48,51716,192.168.137.250,1883,6,29/08/2023 02:28:01 PM,119560766,4537,3821,1535754.0,6.0,1448.0,0.0,338.4954815957672,339.44339300403976,2.0,0.0,0.0015702695629416,0.056025841042869,12845.016399443277,69.90587531030037,14306.661002752226,46115.83296635789,2526352.0,0.0,119560766.0,26358.193562610297,65141.5912234314,2549167.0,0.0,119427456.0,31263.731937172823,70377.96580484803,2546197.0,0.0,1,0,0,0,145184,122284,37.94723095032697,31.958644359973405,0.0,1448.0,183.73836583323327,301.6080744645371,90967.43058220574,0,0,0,4373,8358,0,0,0,0.0,183.760349365877,338.4954815957681,0.0015702695629416,0,0,0,383940,1134,13492,1512,511918,1273,2,502,2939,4533,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.48-192.168.137.250-52370-1883-6,192.168.137.48,52370,192.168.137.250,1883,6,29/08/2023 02:30:00 PM,162305,6,3,1635.0,0.0,654.0,109.0,272.5,203.9203275791798,0.0,0.0,0.0,0.0,10073.62681371492,55.45115677274267,20288.125,15726.062947835537,56026.0,6135.0,162305.0,32461.0,22662.767450159303,62161.0,12071.0,59379.0,29689.5,25653.12691466676,47829.0,11550.0,1,0,0,0,192,96,36.96743784849512,18.48371892424756,0.0,654.0,174.39999999999998,200.32817519704457,40131.37777777778,0,0,0,6,9,0,0,0,0.0,193.77777777777777,272.5,0.0,0,0,0,1635,6,10073,0,0,0,0,502,1447,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.250-192.168.137.48-1883-52250-6,192.168.137.250,1883,192.168.137.48,52250,6,29/08/2023 02:30:00 PM,265737,9,14,0.0,5014.0,0.0,0.0,0.0,0.0,1090.0,109.0,358.1428571428571,254.4758888813988,18868.27953954474,86.55174100708595,12078.954545454548,11614.490934367384,58436.0,112.0,162047.0,20255.875000000004,13135.312116988858,36762.0,5589.0,253215.0,19478.07692307692,15886.811419442323,58436.0,112.0,0,0,0,0,288,448,33.868072567990154,52.6836684390958,0.0,1090.0,208.91666666666663,262.93277644207126,69133.64492753622,0,0,0,14,23,0,0,0,1.0,218.0,0.0,358.1428571428572,0,0,0,5014,14,19801,0,0,0,0,1284,502,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
192.168.137.250-192.168.137.48-1883-52198-6,192.168.137.250,1883,192.168.137.48,52198,6,29/08/2023 02:30:00 PM,269272,5,6,109.0,1635.0,109.0,0.0,21.8,48.746281909495416,654.0,109.0,272.5,203.9203275791798,6476.7224219376685,40.85088683561603,26927.2,20957.2888662208,65415.0,758.0,135859.0,33964.75,37735.896803750846,90120.0,11282.0,180030.0,36006.0,18967.72552258177,61614.0,17055.0,1,0,0,0,160,192,18.56858492528001,22.282301910336017,0.0,654.0,154.41666666666666,188.5550116656739,35552.992424242424,0,0,0,7,11,0,0,0,1.0,168.45454545454547,21.8,272.5,0,0,0,1744,7,6476,0,0,0,0,502,502,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MQTT DoS Publish Flood,1
